Schulnummer;Schulname;Schulform;Gemeinde;Kreis;Sozialindex_Stufe;Sozialindex;Einkommen_Pro_Einwohner_Euro;Einwohnerzahl;Bildungsausgaben_Euro;Schueler_Pro_Lehrkraft
129690;Dortmund, GG Hangeneyschule;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
129707;Dortmund, GG Kirchhrderschule;Grundschulen;Dortmund;Stadt Dortmund;2;2,0;26056;404;30;12,17
129719;Dortmund, GG Bruktererschule;Grundschulen;Dortmund;Stadt Dortmund;5;5,0;26056;404;30;12,17
129720;Dortmund, GG Brechtener;Grundschulen;Dortmund;Stadt Dortmund;2;2,0;26056;404;30;12,17
129732;Dortmund, GG Wichlinghoferschule;Grundschulen;Dortmund;Stadt Dortmund;1;1,0;26056;404;30;12,17
129744;Dortmund, GG Weingartenschule am See;Grundschulen;Dortmund;Stadt Dortmund;4;4,0;26056;404;30;12,17
129756;Dortmund, GG Siegfried-Drupp;Grundschulen;Dortmund;Stadt Dortmund;6;6,0;26056;404;30;12,17
129768;Dortmund, GG Uhlandschule;Grundschulen;Dortmund;Stadt Dortmund;6;6,0;26056;404;30;12,17
129770;Dortmund, GG Fichteschule;Grundschulen;Dortmund;Stadt Dortmund;4;4,0;26056;404;30;12,17
129781;Dortmund, EG Liebigschule;Sonstige;Dortmund;Stadt Dortmund;2;2,0;26092;361;41;11,85
129793;Dortmund, GG Dietrich-Bonhoeffer-Schule;Grundschulen;Dortmund;Stadt Dortmund;6;6,0;26056;404;30;12,17
129800;Dortmund, GG Mrike;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
129811;Dortmund, GG Westhausen;Grundschulen;Dortmund;Stadt Dortmund;8;8,0;26056;404;30;12,17
129823;Dortmund, GG Berghofer-Grundschule;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
129835;Dortmund, GG Kerschensteinerschule;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
129847;Dortmund, GG Schubertschule;Grundschulen;Dortmund;Stadt Dortmund;5;5,0;26056;404;30;12,17
129859;Dortmund, GG Emschertalschule;Grundschulen;Dortmund;Stadt Dortmund;5;5,0;26056;404;30;12,17
129860;Dortmund, GG Jungferntalschule;Grundschulen;Dortmund;Stadt Dortmund;6;6,0;26056;404;30;12,17
129884;Dortmund, GG Diesterwegschule;Grundschulen;Dortmund;Stadt Dortmund;9;9,0;26056;404;30;12,17
129896;Dortmund, GG Schopenhauerschule;Grundschulen;Dortmund;Stadt Dortmund;7;7,0;26056;404;30;12,17
129902;Dortmund, GG Aplerbecker-Mark-Schule;Grundschulen;Dortmund;Stadt Dortmund;2;2,0;26056;404;30;12,17
129914;Dortmund, GG Berswordt-Europa;Grundschulen;Dortmund;Stadt Dortmund;6;6,0;26056;404;30;12,17
129926;Dortmund, GG Lieberfeldschule;Grundschulen;Dortmund;Stadt Dortmund;2;2,0;26056;404;30;12,17
129938;Dortmund, GG Holte;Grundschulen;Dortmund;Stadt Dortmund;6;6,0;26056;404;30;12,17
129940;Dortmund, GG Friedensschule;Grundschulen;Dortmund;Stadt Dortmund;7;7,0;26056;404;30;12,17
129963;Dortmund, GG Steinbrinkschule;Grundschulen;Dortmund;Stadt Dortmund;4;4,0;26056;404;30;12,17
129975;Dortmund, GG Lessingschule;Grundschulen;Dortmund;Stadt Dortmund;9;9,0;26056;404;30;12,17
129987;Dortmund, GG Landgrafenschule;Grundschulen;Dortmund;Stadt Dortmund;4;4,0;26056;404;30;12,17
129999;Dortmund, GG Kruckeler;Grundschulen;Dortmund;Stadt Dortmund;2;2,0;26056;404;30;12,17
130000;Dortmund, GG Aplerbeckerschule;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
130011;Dortmund, GG Hellweg;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
130023;Dortmund, GG Gerhart-Hauptmann-Schule;Grundschulen;Dortmund;Stadt Dortmund;5;5,0;26056;404;30;12,17
130035;Dortmund, GG Benninghofer Schule;Grundschulen;Dortmund;Stadt Dortmund;4;4,0;26056;404;30;12,17
130059;Dortmund, GG Graf-Konrad-Schule;Grundschulen;Dortmund;Stadt Dortmund;8;8,0;26056;404;30;12,17
130060;Dortmund, GG Regenbogen;Grundschulen;Dortmund;Stadt Dortmund;2;2,0;26056;404;30;12,17
130072;Dortmund, GG Hoechstener Schule;Grundschulen;Dortmund;Stadt Dortmund;1;1,0;26056;404;30;12,17
130096;Dortmund, GG Mosaik-Grundschule Eving;Grundschulen;Dortmund;Stadt Dortmund;9;9,0;26056;404;30;12,17
130102;Dortmund, GG Olpketal;Grundschulen;Dortmund;Stadt Dortmund;1;1,0;26056;404;30;12,17
130114;Dortmund, GG Oesterholzschule;Grundschulen;Dortmund;Stadt Dortmund;9;9,0;26056;404;30;12,17
130126;Dortmund, GG Nordmarktschule;Grundschulen;Dortmund;Stadt Dortmund;9;9,0;26056;404;30;12,17
130138;Dortmund, GG Friedrich-Ebert-Schule;Grundschulen;Dortmund;Stadt Dortmund;3;3,0;26056;404;30;12,17
130140;Dortmund, GG Kirchderner Schule;Grundschulen;Dortmund;Stadt Dortmund;5;5,0;26056;404;30;12,17
130151;Dortmund, GG Am Dorney;Grundschulen;Dortmund;Stadt Dortmund;4;4,0;26056;404;30;12,17
130175;Hagen, KG Overbergschule;Sonstige;Hagen;Stadt Hagen;2;2,0;26092;361;41;11,85
130187;Hagen, KG Goethe;Sonstige;Hagen;Stadt Hagen;3;3,0;26092;361;41;11,85
130217;Hagen, KG Meinolfschule;Sonstige;Hagen;Stadt Hagen;7;7,0;26092;361;41;11,85
130229;Hagen, GG (Verb) Freiherr-vom-Stein;Grundschulen;Hagen;Stadt Hagen;7;7,0;26056;404;30;12,25
130230;Hagen, GG Hermann-Lns;Grundschulen;Hagen;Stadt Hagen;6;6,0;26056;404;30;12,25
130242;Hagen, GG Friedrich-Harkort-Schule;Grundschulen;Hagen;Stadt Hagen;8;8,0;26056;404;30;12,25
130254;Hagen, GG Vincke;Grundschulen;Hagen;Stadt Hagen;6;6,0;26056;404;30;12,25
130278;Hagen, GG Hestert;Grundschulen;Hagen;Stadt Hagen;5;5,0;26056;404;30;12,25
130291;Hagen, GG Astrid-Lindgren;Grundschulen;Hagen;Stadt Hagen;4;4,0;26056;404;30;12,25
130308;Hagen, GG Emst;Grundschulen;Hagen;Stadt Hagen;2;2,0;26056;404;30;12,25
130310;Hagen, GG (Verb.) Goldbergschule;Grundschulen;Hagen;Stadt Hagen;8;8,0;26056;404;30;12,25
130321;Hagen, GG Emil-Schumacher-Schule;Grundschulen;Hagen;Stadt Hagen;9;9,0;26056;404;30;12,25
130333;Hagen, GG Karl-Ernst-Osthaus-Schule;Grundschulen;Hagen;Stadt Hagen;3;3,0;26056;404;30;12,25
130345;Hagen, GG Helfe;Grundschulen;Hagen;Stadt Hagen;5;5,0;26056;404;30;12,25
130357;Hagen, GG Kuhlerkamp;Grundschulen;Hagen;Stadt Hagen;5;5,0;26056;404;30;12,25
130369;Hagen, GG Kipperschule;Grundschulen;Hagen;Stadt Hagen;6;6,0;26056;404;30;12,25
130370;Hagen, GG Funckeparkschule;Grundschulen;Hagen;Stadt Hagen;9;9,0;26056;404;30;12,25
130382;Hagen, GG Gebrder-Grimm-Schule;Grundschulen;Hagen;Stadt Hagen;8;8,0;26056;404;30;12,25
130412;Hagen, GG Altenhagen;Grundschulen;Hagen;Stadt Hagen;9;9,0;26056;404;30;12,25
130424;Hagen, GG Henry-van-de-Velde-Schule;Grundschulen;Hagen;Stadt Hagen;8;8,0;26056;404;30;12,25
130436;Hagen, GG Janusz-Korczak;Grundschulen;Hagen;Stadt Hagen;9;9,0;26056;404;30;12,25
130461;Hamm, GG Bodelschwinghschule;Grundschulen;Hamm;Stadt Hamm;6;6,0;26056;404;30;11,98
130473;Hamm, GG Ludgerischule;Grundschulen;Hamm;Stadt Hamm;9;9,0;26056;404;30;11,98
130485;Hamm, GG Johannes;Grundschulen;Hamm;Stadt Hamm;7;7,0;26056;404;30;11,98
130497;Hamm, GG Wilhelm-Busch-Schule;Grundschulen;Hamm;Stadt Hamm;8;8,0;26056;404;30;11,98
130503;Hamm, GG Geistschule;Grundschulen;Hamm;Stadt Hamm;5;5,0;26056;404;30;11,98
130515;Hamm, GG Theodor-Heuss-Schule;Grundschulen;Hamm;Stadt Hamm;4;4,0;26056;404;30;11,98
130527;Hamm, GG Matthias-Claudius;Grundschulen;Hamm;Stadt Hamm;9;9,0;26056;404;30;11,98
130539;Hamm, GG Hermann-Gmeiner;Grundschulen;Hamm;Stadt Hamm;8;8,0;26056;404;30;11,98
130540;Hamm, GG Ketteler;Grundschulen;Hamm;Stadt Hamm;3;3,0;26056;404;30;11,98
130552;Hamm, GG Hellwegschule;Grundschulen;Hamm;Stadt Hamm;2;2,0;26056;404;30;11,98
130564;Hamm, GG Dietrich-Bonhoeffer;Grundschulen;Hamm;Stadt Hamm;2;2,0;26056;404;30;11,98
130576;Herne, KG an der Bergstraáe;Sonstige;Herne;Stadt Herne;1;1,0;26092;361;41;11,85
130588;Herne, GG an der Vellwigstraáe;Grundschulen;Herne;Stadt Herne;2;2,0;26056;404;30;13,48
130618;Herne, GG an der Max-Wiethoff-Straáe;Grundschulen;Herne;Stadt Herne;6;6,0;26056;404;30;13,48
130643;Herne, GG am Schloss;Grundschulen;Herne;Stadt Herne;6;6,0;26056;404;30;13,48
130679;Herne, GG an der Ohmstraáe;Grundschulen;Herne;Stadt Herne;8;8,0;26056;404;30;13,48
130680;Herne, GG Pantrings Hof;Grundschulen;Herne;Stadt Herne;3;3,0;26056;404;30;13,48
130722;Herne, GG Kunterbunt;Grundschulen;Herne;Stadt Herne;8;8,0;26056;404;30;13,48
130734;Herne, GG an der Brsinghauser Straáe;Grundschulen;Herne;Stadt Herne;3;3,0;26056;404;30;13,48
130758;Iserlohn, GG Bmberg;Grundschulen;Iserlohn;Mrkischen Kreis;6;6,0;26056;404;30;11,44
130760;Iserlohn, GG Lichte Kammer;Grundschulen;Iserlohn;Mrkischen Kreis;7;7,0;26056;404;30;11,44
130783;Iserlohn, GG (Verb.) Nuáberg;Grundschulen;Iserlohn;Mrkischen Kreis;5;5,0;26056;404;30;11,44
130795;Iserlohn, GG Im Wiesengrund;Grundschulen;Iserlohn;Mrkischen Kreis;7;7,0;26056;404;30;11,44
130813;Iserlohn, GG Burgschule;Grundschulen;Iserlohn;Mrkischen Kreis;8;8,0;26056;404;30;11,44
130825;Iserlohn, GG Sdschule;Grundschulen;Iserlohn;Mrkischen Kreis;8;8,0;26056;404;30;11,44
130849;Lnen, GG Wittekind;Grundschulen;Lnen;Kreis Unna;9;9,0;24163;396;10;12,49
130850;Lnen, GG (Verb.) Osterfeld;Grundschulen;Lnen;Kreis Unna;6;6,0;24163;396;10;12,49
130862;Lnen, GG (Verb.) Overbergschule;Grundschulen;Lnen;Kreis Unna;7;7,0;24163;396;10;12,49
130874;Lnen, GG Viktoria;Grundschulen;Lnen;Kreis Unna;9;9,0;24163;396;10;12,49
130886;Lnen, KG Elisabeth;Sonstige;Lnen;Kreis Unna;3;3,0;24163;396;10;11,85
130898;Lnen, KG Leo;Sonstige;Lnen;Kreis Unna;3;3,0;24163;396;10;11,85
130904;Lnen, GG Schule am Lserbach;Grundschulen;Lnen;Kreis Unna;2;2,0;24163;396;10;12,49
130977;Herne, GG am Eickeler Park;Grundschulen;Herne;Stadt Herne;3;3,0;26056;404;30;13,48
130989;Herne, GG Freiherr-vom-Stein-Schule;Grundschulen;Herne;Stadt Herne;8;8,0;26056;404;30;13,48
130990;Herne, GG Sonnenschule;Grundschulen;Herne;Stadt Herne;4;4,0;26056;404;30;13,48
131003;Herne, GG Horstschule;Grundschulen;Herne;Stadt Herne;4;4,0;26056;404;30;13,48
131015;Herne, GG Sdschule;Grundschulen;Herne;Stadt Herne;6;6,0;26056;404;30;13,48
131027;Herne, GG Laurentiusschule;Grundschulen;Herne;Stadt Herne;6;6,0;26056;404;30;13,48
131039;Herne, GG Claudiusschule;Grundschulen;Herne;Stadt Herne;6;6,0;26056;404;30;13,48
131040;Herne, GG Michaelschule;Grundschulen;Herne;Stadt Herne;5;5,0;26056;404;30;13,48
131052;Herne, GG Europaschule Knigstraáe;Grundschulen;Herne;Stadt Herne;5;5,0;26056;404;30;13,48
131064;Herne, GG Josefschule;Grundschulen;Herne;Stadt Herne;9;9,0;26056;404;30;13,48
131088;Bochum, GG Kirchschule Hntrop;Grundschulen;Bochum;Stadt Bochum;5;5,0;26056;404;30;13,27
131090;Bochum, GG Westenfeld;Grundschulen;Bochum;Stadt Bochum;8;8,0;26056;404;30;13,27
131120;Bochum, GG Regenbogen;Grundschulen;Bochum;Stadt Bochum;5;5,0;26056;404;30;13,27
131131;Bochum, GG Gnnigfeld;Grundschulen;Bochum;Stadt Bochum;6;6,0;26056;404;30;13,27
131155;Bochum, GG Glckaufschule;Grundschulen;Bochum;Stadt Bochum;8;8,0;26056;404;30;13,27
131167;Bochum, GG Leithe;Grundschulen;Bochum;Stadt Bochum;4;4,0;26056;404;30;13,27
131179;Bochum, GG Dietrich-Bonhoeffer;Grundschulen;Bochum;Stadt Bochum;2;2,0;26056;404;30;13,27
131209;Witten, GG Bruch;Grundschulen;Witten;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,04
131210;Witten, GG Crengeldanzschule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;6;6,0;27150;324;6;12,04
131222;Witten, GG Rdinghauser;Grundschulen;Witten;Ennepe-Ruhr-Kreis;2;2,0;27150;324;6;12,04
131234;Witten, GG Dorfschule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,04
131246;Witten, GG Hellwegschule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,04
131260;Witten, GG Hllbergschule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,04
131271;Witten, GG Erlenschule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;6;6,0;27150;324;6;12,04
131283;Witten, GG Harkort;Grundschulen;Witten;Ennepe-Ruhr-Kreis;2;2,0;27150;324;6;12,04
131295;Witten, GG Baedeker;Grundschulen;Witten;Ennepe-Ruhr-Kreis;6;6,0;27150;324;6;12,04
131301;Witten, GG Borbach;Grundschulen;Witten;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,04
131313;Witten, GG Gerichtsschule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;9;9,0;27150;324;6;12,04
131325;Witten, GG Bredde;Grundschulen;Witten;Ennepe-Ruhr-Kreis;8;8,0;27150;324;6;12,04
131337;Witten, GG Brenschen;Grundschulen;Witten;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,04
131350;Altena, GG Breitenhagen;Grundschulen;Altena;Mrkischen Kreis;5;5,0;26056;404;30;12,5
131404;Plettenberg, GG Holthausen;Grundschulen;Plettenberg;Mrkischen Kreis;3;3,0;26056;404;30;12,53
131430;Plettenberg, GG (Verb.) Hallenschule;Grundschulen;Plettenberg;Mrkischen Kreis;5;5,0;26056;404;30;12,53
131441;Plettenberg, GG Eschenschule;Grundschulen;Plettenberg;Mrkischen Kreis;7;7,0;26056;404;30;12,53
131453;Plettenberg, GG (Verb.) Martin-Luther;Grundschulen;Plettenberg;Mrkischen Kreis;4;4,0;26056;404;30;12,53
131477;Werdohl, GG (Verb.) Schulweg;Grundschulen;Werdohl;Mrkischen Kreis;6;6,0;26056;404;30;13,18
131507;Werdohl, KG St.Michael-Schule;Sonstige;Werdohl;Mrkischen Kreis;7;7,0;26092;361;41;11,85
131519;Werdohl, EG Martin Luther;Sonstige;Werdohl;Mrkischen Kreis;7;7,0;26092;361;41;11,85
131556;Nachrodt-Wiblingwerde,GG (Verb) Nachrodt;Grundschulen;Nachrodt-Wiblingwerde;Mrkischen Kreis;3;3,0;26056;404;30;14,0
131568;Halver, GG (Verb.) Regenbogenschule;Grundschulen;Halver;Mrkischen Kreis;3;3,0;26056;404;30;13,2
131581;Halver, GG Lindenhofschule;Grundschulen;Halver;Mrkischen Kreis;2;2,0;26056;404;30;13,2
131600;Kierspe, GG (Verb.) Bismarckschule;Grundschulen;Kierspe;Mrkischen Kreis;1;1,0;26056;404;30;14,8
131611;Kierspe, GG (Verb.) Pestalozzi;Grundschulen;Kierspe;Mrkischen Kreis;3;3,0;26056;404;30;14,8
131623;Ldenscheid, GG Lsenbach;Grundschulen;Ldenscheid;Mrkischen Kreis;3;3,0;26056;404;30;12,49
131635;Ldenscheid, GG Otfried-Preuáler-Schule;Grundschulen;Ldenscheid;Mrkischen Kreis;4;4,0;26056;404;30;12,49
131659;Ldenscheid, GG Adolf-Kolping-Schule;Grundschulen;Ldenscheid;Mrkischen Kreis;6;6,0;26056;404;30;12,49
131660;Ldenscheid, GG Pestalozzi;Grundschulen;Ldenscheid;Mrkischen Kreis;7;7,0;26056;404;30;12,49
131684;Ldenscheid, GG Westschule;Grundschulen;Ldenscheid;Mrkischen Kreis;7;7,0;26056;404;30;12,49
131702;Ldenscheid, GG Knapper;Grundschulen;Ldenscheid;Mrkischen Kreis;8;8,0;26056;404;30;12,49
131738;Ldenscheid, GG Bierbaum;Grundschulen;Ldenscheid;Mrkischen Kreis;3;3,0;26056;404;30;12,49
131751;Ldenscheid, GG Wehberger;Grundschulen;Ldenscheid;Mrkischen Kreis;5;5,0;26056;404;30;12,49
131775;Meinerzhagen, GG Auf der Wahr;Grundschulen;Meinerzhagen;Mrkischen Kreis;5;5,0;26056;404;30;13,75
131799;Meinerzhagen, GG Ebbeschule-Valbert;Grundschulen;Meinerzhagen;Mrkischen Kreis;2;2,0;26056;404;30;13,75
131817;Neuenrade, GG (Verb.) Burgschule;Grundschulen;Neuenrade;Mrkischen Kreis;4;4,0;26056;404;30;13,17
131842;Schalksmhle, GG Spormecke;Grundschulen;Schalksmhle;Mrkischen Kreis;2;2,0;26056;404;30;12,49
131854;Arnsberg, GG Norbertusschule;Grundschulen;Arnsberg;Hochsauerlandkreis;6;6,0;27635;260;34;12,49
131866;Arnsberg, KG Kath. Johannesschule;Sonstige;Arnsberg;Hochsauerlandkreis;4;4,0;27635;260;34;11,85
131878;Arnsberg, GG (Verb.) Regenbogen;Grundschulen;Arnsberg;Hochsauerlandkreis;2;2,0;27635;260;34;12,49
131880;Arnsberg, GG Adolf-Sauer-Schule;Grundschulen;Arnsberg;Hochsauerlandkreis;4;4,0;27635;260;34;12,49
131891;Arnsberg, GG Moosfelde;Grundschulen;Arnsberg;Hochsauerlandkreis;7;7,0;27635;260;34;12,49
131910;Arnsberg, GG Rhr;Grundschulen;Arnsberg;Hochsauerlandkreis;5;5,0;27635;260;34;12,49
131921;Arnsberg, GG Mhlenberg;Grundschulen;Arnsberg;Hochsauerlandkreis;4;4,0;27635;260;34;12,49
131933;Arnsberg, GG Graf-Gottfried-Schule;Grundschulen;Arnsberg;Hochsauerlandkreis;3;3,0;27635;260;34;12,49
131945;Arnsberg, GG Rote Schule;Grundschulen;Arnsberg;Hochsauerlandkreis;6;6,0;27635;260;34;12,49
131957;Arnsberg, KG St.Josef-Bergheim;Sonstige;Arnsberg;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
131970;Balve, GG St. Johannes Balve;Grundschulen;Balve;Mrkischen Kreis;3;3,0;26056;404;30;12,0
131982;Balve, GG Beckum;Grundschulen;Balve;Mrkischen Kreis;1;1,0;26056;404;30;12,0
132007;Balve, KG Dreiknige;Sonstige;Balve;Mrkischen Kreis;1;1,0;26092;361;41;11,85
132020;Meschede, KG (Verb.) St. Nikolaus-Schule;Sonstige;Meschede;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132044;Arnsberg, KG Dinschede;Sonstige;Arnsberg;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132068;Arnsberg, KG Rodentelgenschule;Sonstige;Arnsberg;Hochsauerlandkreis;5;5,0;27635;260;34;11,85
132081;Sundern, KG Hachen;Sonstige;Sundern (Sauerland);Hochsauerlandkreis;3;3,0;27635;260;34;11,85
132093;Arnsberg, KG (Verb) Kath Heinrich-Knoche;Sonstige;Arnsberg;Hochsauerlandkreis;1;1,0;27635;260;34;11,85
132135;Arnsberg, KG Mschede;Sonstige;Arnsberg;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132160;Arnsberg, KG Urbanus;Sonstige;Arnsberg;Hochsauerlandkreis;1;1,0;27635;260;34;11,85
132172;Sundern, KG Allendorf;Sonstige;Sundern (Sauerland);Hochsauerlandkreis;1;1,0;27635;260;34;11,85
132202;Sundern, KG Sebastianschule;Sonstige;Sundern (Sauerland);Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132214;Sundern, GG Johannes;Grundschulen;Sundern (Sauerland);Hochsauerlandkreis;3;3,0;27635;260;34;11,82
132226;Sundern, GG Marienschule;Grundschulen;Sundern (Sauerland);Hochsauerlandkreis;2;2,0;27635;260;34;11,82
132287;Warstein, KG (Verb.) Lioba-Schule;Sonstige;Warstein;Kreis Soest;4;4,0;25849;304;39;11,85
132299;Brilon, KG St.Engelbert-Schule;Sonstige;Brilon;Hochsauerlandkreis;4;4,0;27635;260;34;11,85
132317;Brilon, KG Ratmerstein;Sonstige;Brilon;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132342;Winterberg, KG Am Postteich;Sonstige;Winterberg;Hochsauerlandkreis;4;4,0;27635;260;34;11,85
132366;Medebach, GG (Verb.) Hanse;Grundschulen;Medebach;Hochsauerlandkreis;3;3,0;27635;260;34;14,75
132408;Olsberg, KG Kardinal-von-Galen-Schule;Sonstige;Olsberg;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132410;Olsberg, KG St.Martinus-Schule;Sonstige;Olsberg;Hochsauerlandkreis;3;3,0;27635;260;34;11,85
132433;Olsberg, KG Franziskus;Sonstige;Olsberg;Hochsauerlandkreis;1;1,0;27635;260;34;11,85
132457;Winterberg, KG St.Josef;Sonstige;Winterberg;Hochsauerlandkreis;3;3,0;27635;260;34;11,85
132470;Hallenberg, KG Elbersbach;Sonstige;Hallenberg;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132524;Marsberg,GG Naturparkgrundschule Giersh.;Grundschulen;Marsberg;Hochsauerlandkreis;1;1,0;27635;260;34;10,75
132550;Marsberg, GG Schule am Burghof;Grundschulen;Marsberg;Hochsauerlandkreis;4;4,0;27635;260;34;10,75
132573;Winterberg, KG Niedersfeld;Sonstige;Winterberg;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132640;Brilon, KG (Verb.) Thlen-Alme-Hoppecke;Sonstige;Brilon;Hochsauerlandkreis;2;2,0;27635;260;34;11,85
132652;Breckerfeld, GG Ostring;Grundschulen;Breckerfeld;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;20,0
132676;Hagen, GG Volmetal;Grundschulen;Hagen;Stadt Hagen;4;4,0;26056;404;30;12,25
132706;Ennepetal, GG Bttenberg;Grundschulen;Ennepetal;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,32
132718;Ennepetal, GG (Verb.) Wassermaus;Grundschulen;Ennepetal;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,32
132720;Ennepetal, GG Altenvoerde;Grundschulen;Ennepetal;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,32
132731;Ennepetal, GG Voerde;Grundschulen;Ennepetal;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,32
132755;Ennepetal, KG Kirchstr.;Sonstige;Ennepetal;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;11,85
132779;Gevelsberg, GG Pestalozzischule;Grundschulen;Gevelsberg;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,45
132780;Gevelsberg, GG Am Strckerberg;Grundschulen;Gevelsberg;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,45
132792;Gevelsberg, GG Schnellmark;Grundschulen;Gevelsberg;Ennepe-Ruhr-Kreis;5;5,0;27150;324;6;12,45
132810;Gevelsberg, GG Silschede;Grundschulen;Gevelsberg;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,45
132822;Hattingen, GG Bredenscheid;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;2;2,0;27150;324;6;12,87
132834;Hattingen, GG Oberwinzerfeld;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,87
132860;Hattingen, KG Weiltor St.Franzsikus;Sonstige;Hattingen;Ennepe-Ruhr-Kreis;5;5,0;27150;324;6;11,85
132883;Hattingen, GG Heggerfeld;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;8;8,0;27150;324;6;12,87
132895;Hattingen, GG Bruchfeld;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,87
132901;Hattingen, GG Holthausen;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,87
132937;Hattingen,GG Niederwenigern Nikol.Groá;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;2;2,0;27150;324;6;12,87
132950;Hattingen, GG Alt-Blankenstein;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,87
132962;Hattingen, GG Erik-Nlting;Grundschulen;Hattingen;Ennepe-Ruhr-Kreis;6;6,0;27150;324;6;12,87
132974;Witten, GG Buchholzer Schule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,04
132986;Witten, GG Vormholzer Schule;Grundschulen;Witten;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;12,04
133000;Witten, GG Herbeder;Grundschulen;Witten;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,04
133024;Herdecke, GG Hugo Knauer;Grundschulen;Herdecke;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,08
133036;Herdecke, GG Schraberg;Grundschulen;Herdecke;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,08
133048;Herdecke, GG Robert-Bonnermann-Schule;Grundschulen;Herdecke;Ennepe-Ruhr-Kreis;5;5,0;27150;324;6;12,08
133050;Schwelm, GG Nordstadt;Grundschulen;Schwelm;Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;14,19
133073;Schwelm, GG Engelbertstr.;Grundschulen;Schwelm;Ennepe-Ruhr-Kreis;6;6,0;27150;324;6;14,19
133085;Schwelm, GG Lndchenweg;Grundschulen;Schwelm;Ennepe-Ruhr-Kreis;5;5,0;27150;324;6;14,19
133097;Schwelm, KG St.Marien;Sonstige;Schwelm;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;11,85
133115;Sprockhvel, GG Hobeuken;Grundschulen;Sprockhvel;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,49
133127;Sprockhvel, GG Haálinghausen;Grundschulen;Sprockhvel;Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;12,49
133139;Sprockhvel, GG Brgersbruch;Grundschulen;Sprockhvel;Ennepe-Ruhr-Kreis;2;2,0;27150;324;6;12,49
133140;Sprockhvel, GG Gennebreck-Herzkamp;Grundschulen;Sprockhvel;Ennepe-Ruhr-Kreis;1;1,0;27150;324;6;12,49
133152;Wetter, KG St. Rafael;Sonstige;Wetter (Ruhr);Ennepe-Ruhr-Kreis;3;3,0;27150;324;6;11,85
133164;Wetter, GG Bergstr.;Grundschulen;Wetter (Ruhr);Ennepe-Ruhr-Kreis;6;6,0;27150;324;6;11,29
133176;Wetter, GG Grundschttel;Grundschulen;Wetter (Ruhr);Ennepe-Ruhr-Kreis;4;4,0;27150;324;6;11,29
